Excel Row,Organization Name,Country,Website,Google Drive ID,Google Drive URL,LOCAL FILE (fill this in)
30,"KUZEYİN YILDIZLARI Sosyal Yardımlaşma Kültür Sanat ve Spor Kulübü Derneği","Turkey","","1Aem65y2C4nhlbi0QCRrVrdCMni2u-gHy","https://drive.google.com/open?id=1Aem65y2C4nhlbi0QCRrVrdCMni2u-gHy",""
31,"Embaixada da Juventude","Spain","","1494wevJpf2ImTxO19bgzr1Lq6-KxKsf7","https://drive.google.com/open?id=1494wevJpf2ImTxO19bgzr1Lq6-KxKsf7",""
32,"Dideas","Spain","","1ryqGrWxEclH2USzvb88nB5XDpQYJTvUc","https://drive.google.com/open?id=1ryqGrWxEclH2USzvb88nB5XDpQYJTvUc",""
33,"Verde: Center for Research, Innovation and Sustainable Development","Greece","","1LvA4kROkN6W9TK1GXORBvOPUro_bVZvz","https://drive.google.com/open?id=1LvA4kROkN6W9TK1GXORBvOPUro_bVZvz",""
34,"DAR DEVELOPMENT ASSOCIATION","Romania","http://www.darassociation.org/contact.html","1Wcj6okRuzd426ge3o_XOM8P7wb4w2Isn","https://drive.google.com/open?id=1Wcj6okRuzd426ge3o_XOM8P7wb4w2Isn",""
35,"Association WalkTogether","Bulgaria","https://www.facebook.com/pages/WalkTogether/1546632572269496?fref=ts","1GU_1XeKpaZeK32ZUGRzhVgfVFvY-p5kh","https://drive.google.com/open?id=1GU_1XeKpaZeK32ZUGRzhVgfVFvY-p5kh",""
36,"Middle East Technical University","Turkey","https://www.metu.edu.tr/","1P0ghRIQQJWD25yWa6lZDUb4su-sAXPqR","https://drive.google.com/open?id=1P0ghRIQQJWD25yWa6lZDUb4su-sAXPqR",""
37,"Miejska Strefa Kultury w Łodzi","Poland","https://msk.lodz.pl/","1I7E8KTyVnq2bL8Rq2zxErBpueuVwqcZX","https://drive.google.com/open?id=1I7E8KTyVnq2bL8Rq2zxErBpueuVwqcZX",""
38,"Asset Based Community Development Innovation Center","Armenia","https://www.abcdinnovationcenter.com/","1Xuq-8ESSHbENHKL5hD-dE8J8jjJr6F76","https://drive.google.com/open?id=1Xuq-8ESSHbENHKL5hD-dE8J8jjJr6F76",""
39,"MORE – Mountains of Research Collaborative Laboratory – Association","Portugal","https://morecolab.pt/","1kQ_KrxFokeItob5KkXD9RoUfPIP40BOL","https://drive.google.com/open?id=1kQ_KrxFokeItob5KkXD9RoUfPIP40BOL",""
40,"Programma integra","Italy","https://www.programmaintegra.it/wp/","1sVWRR4Y23oqFiEKIMNCeV5nyIfC94Ae8","https://drive.google.com/open?id=1sVWRR4Y23oqFiEKIMNCeV5nyIfC94Ae8",""
41,"Republican Center for Children and Youth ARTICO/Centrul Republican pentru Copii și Tineret Artico","Moldova","https://www.facebook.com/ArticoErasmus / https://www.facebook.com/artico.md","1uHgGRO1Py4of29L4Eizb-xktoXdYNrq7","https://drive.google.com/open?id=1uHgGRO1Py4of29L4Eizb-xktoXdYNrq7",""
42,"Kültür Eğitim ve Proje Derneği","Turkey","www.kepder.org","1t4PzuokYe8YQKXtQGyRxNo0FXI5TDcdX","https://drive.google.com/open?id=1t4PzuokYe8YQKXtQGyRxNo0FXI5TDcdX",""
43,"Asociatia Internationala a Tinerilor","Moldova","","1KqoYnPDU-CAbiBhOH-LsYxkank3GiBfV","https://drive.google.com/open?id=1KqoYnPDU-CAbiBhOH-LsYxkank3GiBfV",""
44,"Association for cultural, sport and educational development "World of Change"","North Macedonia","","1DobKJL8yjSa0eVWIvGBT_eYWDpnee4xy","https://drive.google.com/open?id=1DobKJL8yjSa0eVWIvGBT_eYWDpnee4xy",""
45,"Foundation "Situational Center Open Doors"","Bulgaria","https://opendoors.center","1vUNcGz7dPlQgD0AUCXj_8F3IgJcSO6_A","https://drive.google.com/open?id=1vUNcGz7dPlQgD0AUCXj_8F3IgJcSO6_A",""
46,"Tavo Europa","Lithuania","tavoeuropa.eu","1ydUT2Plh-EuDc-wVnZScMwMawKqgziZ-","https://drive.google.com/open?id=1ydUT2Plh-EuDc-wVnZScMwMawKqgziZ-",""
47,"Fundacja „PSYCHOCENTER”","Poland","Not applicable","1z276yJauvD8TUCwbHdOGXX7iL7jYafdw","https://drive.google.com/open?id=1z276yJauvD8TUCwbHdOGXX7iL7jYafdw",""
48,"World Society Builders","Germany","","1AUj1QAawhoFOcT7SmJX-40FI_N65mgeP","https://drive.google.com/open?id=1AUj1QAawhoFOcT7SmJX-40FI_N65mgeP",""
49,"Comunità Progetto Sud - ONLUS","Italy","https://www.comunitaprogettosud.it/","1-KrKaqXRQ9NN_8flO-igAAwX8-JCxIL7","https://drive.google.com/open?id=1-KrKaqXRQ9NN_8flO-igAAwX8-JCxIL7",""
50,"GLAFKA s.r.o.","Czech Republic","www.glafka.cz","1M7xJcXK7U-Hccpb2w34cjEgcvBD-94XT","https://drive.google.com/open?id=1M7xJcXK7U-Hccpb2w34cjEgcvBD-94XT",""
51,"Stichting E-UNITY","Netherlands","E-unity.nl","1dqonoWwno3ok6sVRV4kVfFSG3I6mI94Q","https://drive.google.com/open?id=1dqonoWwno3ok6sVRV4kVfFSG3I6mI94Q",""
52,"Eagle Intuition","Portugal","https://ei.edu.pt","1s9yrDXvLoGqNLilRbV34ncwJBMAh0z3e","https://drive.google.com/open?id=1s9yrDXvLoGqNLilRbV34ncwJBMAh0z3e",""
53,"GoINNO Institute","Slovenia","www.goinno.si","1rk4ej9p_jGcuDHhQZaCBT2ARw74KGj6o","https://drive.google.com/open?id=1rk4ej9p_jGcuDHhQZaCBT2ARw74KGj6o",""
54,"Albanian Center for Education Care and Training","Albania","https://actcenter-al.org/","1Z71Jo1d4QoVjaEB4IYvNch6wZl8VRgMP","https://drive.google.com/open?id=1Z71Jo1d4QoVjaEB4IYvNch6wZl8VRgMP",""
55,"Trevessu APS","Italy","www.trevessu.com","1FolimEkMpOqeX1Ax-O-JNKFGyukQgQBU","https://drive.google.com/open?id=1FolimEkMpOqeX1Ax-O-JNKFGyukQgQBU",""
56,"SUPERLIKE","Moldova","https://superlike.md/","1m9Jx5pDZrdi45J185P81t8_r8b2eqjRz","https://drive.google.com/open?id=1m9Jx5pDZrdi45J185P81t8_r8b2eqjRz",""
57,"Mimma Dreams APS","Italy","https://instagram.com/mimma_dreams?igshid=NTc4MTIwNjQ2YQ==","1W6SP0MAD8dTaA_4AfN_L0tQU01KjkA1q","https://drive.google.com/open?id=1W6SP0MAD8dTaA_4AfN_L0tQU01KjkA1q",""
58,"EMC SERVICES LTD","Cyprus","http://emcservicesweb.com/","1McfGvnal5QfthRDSo2AI_lRig0QxFpjh","https://drive.google.com/open?id=1McfGvnal5QfthRDSo2AI_lRig0QxFpjh",""
59,"Bridge To Unity","Romania","https://instagram.com/btounity?igshid=MzNlNGNkZWQ4Mg==","1xfyRGHtcsX47b-F48fTVR_3g26drJ9un","https://drive.google.com/open?id=1xfyRGHtcsX47b-F48fTVR_3g26drJ9un",""
60,"ROMA T.E.A.M ASSOCIATION","Romania","www.romateam.ro","1weZ8tnGJ0sesP9pzTN6gRNMPFm79B2Or","https://drive.google.com/open?id=1weZ8tnGJ0sesP9pzTN6gRNMPFm79B2Or",""
61,"Square of Youth Association","Hungary","squareofyouth.eu","1vL5mknMZPranH5QiH4K_8Ln_6n_1oyvO","https://drive.google.com/open?id=1vL5mknMZPranH5QiH4K_8Ln_6n_1oyvO",""
62,"Association of Energetic, Ambitious and Motivated Roma Youth","Romania","www.romateam.ro","15gEHJxuezTad5ndQLYsAuNAQQQiRckcD","https://drive.google.com/open?id=15gEHJxuezTad5ndQLYsAuNAQQQiRckcD",""
63,"BK Plus Europe","Cyprus","www.bkplus.eu","1jk3ynH8hgIrHcT2COLPrGKB7E_ogKeQS","https://drive.google.com/open?id=1jk3ynH8hgIrHcT2COLPrGKB7E_ogKeQS",""
64,"Udruga srednjoškolaca Hrvatske (Croatian Pupils' Association)","Croatia","www.usred.hr","1wDM8qaE44dLNuZcj8bE1u5WdbgqDVGkd","https://drive.google.com/open?id=1wDM8qaE44dLNuZcj8bE1u5WdbgqDVGkd",""
65,"Local Action Group (LAG) Vallis Colapis","Croatia","https://leader.vallis-colapis.hr/","190RAaczplTK0xqskn6MlcznaVD1dQIuj","https://drive.google.com/open?id=190RAaczplTK0xqskn6MlcznaVD1dQIuj",""
66,"Jugendvision e.V.","Germany","Instagram.com/jugendvision.ev","18zfqqYd85RK4Unl82i_kdPEMjSEjkPfC","https://drive.google.com/open?id=18zfqqYd85RK4Unl82i_kdPEMjSEjkPfC",""
67,"Asociación sociocultural Grupo Cinco","Spain","https://www.asociaciongrupocinco.com/","1KhaDWUEC3RLebkMtglofj_-oVRzyWHca","https://drive.google.com/open?id=1KhaDWUEC3RLebkMtglofj_-oVRzyWHca",""
68,"SESAT Ltd","Cyprus","www.sesarab.com","1CldfhBP7KSZuZQUUSWTB0AohpGwRQ_7k","https://drive.google.com/open?id=1CldfhBP7KSZuZQUUSWTB0AohpGwRQ_7k",""
69,"Bergama District Directorate of National Education","Turkey","https://bergama.meb.gov.tr/","1XSWaQvuSdVk_q4TmchCPiOtLm11D2a2D","https://drive.google.com/open?id=1XSWaQvuSdVk_q4TmchCPiOtLm11D2a2D",""
70,"Conversas Associação Internacional","Portugal","","1Ip3mz0Veo7HY2eaiQldWFDAHK6RlNj33","https://drive.google.com/open?id=1Ip3mz0Veo7HY2eaiQldWFDAHK6RlNj33",""
71,"Regional Cluster "North-East"","Ecuador","https://www.facebook.com/p/Regional-Cluster-North-East-100083397127733/?paipv=0&eav=AfZYhmMfqhbpCLBIIJG4mmvCQlprM2hEO_Nl26pidHX3nlYitkhXiiveNoORkLyxDX4&_rdr","1hQRCZ4g40fS48sO6XqREL-gjnihe1Unv","https://drive.google.com/open?id=1hQRCZ4g40fS48sO6XqREL-gjnihe1Unv",""
72,"Florelina","France","https://www.activhandi.fr/","1QFTsfJHMMkmoEPbsu64qGQ-EObcTEa7M","https://drive.google.com/open?id=1QFTsfJHMMkmoEPbsu64qGQ-EObcTEa7M",""
73,"Polo Europeo della Conoscenza  - IC Bosco Chiesanuova","Italy","www.europole.org","1E0dy7e31uCBiJhUob1MVDI4jBRVaZKxB","https://drive.google.com/open?id=1E0dy7e31uCBiJhUob1MVDI4jBRVaZKxB",""
74,"GLAFKA s.r.o.","Czech Republic","www.glafka.cz","1rCUVceFKnLxg9drGzjoaaBB2phH5ua2t","https://drive.google.com/open?id=1rCUVceFKnLxg9drGzjoaaBB2phH5ua2t",""
75,"Global Organization for Development NGO","Bulgaria","youthtriumph.com","17ns7h7GC4FgpAmJPTnUnMryUphL19XQg","https://drive.google.com/open?id=17ns7h7GC4FgpAmJPTnUnMryUphL19XQg",""
76,"Global Organization for Development","Bulgaria","","1ENNbZIslap2Xd6xnFlOZrKdgrBdfCZnw","https://drive.google.com/open?id=1ENNbZIslap2Xd6xnFlOZrKdgrBdfCZnw",""
77,"Loesje Bitola","North Macedonia","https://loesje.org/","1lRNIXV_iGSRrKLluQ1uxKMxSIJ0plhRl","https://drive.google.com/open?id=1lRNIXV_iGSRrKLluQ1uxKMxSIJ0plhRl",""
78,"Karaman Youth Club NGO","Turkey","www.karamanyouth.org","1fDJ17VfadxieBjUy6SuX5lf8qh2ac8V8","https://drive.google.com/open?id=1fDJ17VfadxieBjUy6SuX5lf8qh2ac8V8",""
79,"Some Alternatives Youth Association","Turkey","http://www.bazaltgenclik.com/","1ishodMKs9WzjpzuiJmcWmoKcQSmnd4oa","https://drive.google.com/open?id=1ishodMKs9WzjpzuiJmcWmoKcQSmnd4oa",""
